賈	賈
降	降
見	見
更	更
契	契
串	串
廓	廓
句	句
豈	豈
金	金
拏	拏
諾	諾
奈	奈
女	女
年	年
撚	撚
秊	秊
念	念
捻	捻
怒	怒
尿	尿
杻	杻
紐	紐
泥	泥
匿	匿
溺	溺
茶	茶
丹	丹
糖	糖
宅	宅
度	度
讀	讀
洞	洞
喇	喇
懶	懶
癩	癩
羅	羅
蘿	蘿
螺	螺
裸	裸
邏	邏
洛	洛
烙	烙
珞	珞
落	落
酪	酪
駱	駱
亂	亂
卵	卵
欄	欄
爛	爛
蘭	蘭
鸞	鸞
嵐	嵐
濫	濫
藍	藍
襤	襤
拉	拉
臘	臘
蠟	蠟
廊	廊
朗	朗
浪	浪
狼	狼
郎	郞
來	來
冷	冷
掠	掠
略	略
亮	亮
兩	兩
凉	凉
梁	梁
糧	糧
良	良
諒	諒
量	量
勵	勵
呂	呂
廬	廬
旅	旅
濾	濾
礪	礪
閭	閭
驪	驪
麗	麗
黎	黎
力	力
曆	曆
歷	歷
轢	轢
憐	憐
戀	戀
漣	漣
煉	煉
璉	璉
練	練
聯	聯
蓮	蓮
輦	輦
連	連
鍊	鍊
列	列
劣	劣
烈	烈
裂	裂
廉	廉
殮	殮
簾	簾
獵	獵
令	令
囹	囹
嶺	嶺
怜	怜
玲	玲
羚	羚
聆	聆
鈴	鈴
零	零
靈	靈
領	領
例	例
禮	禮
醴	醴
隸	隷
勞	勞
擄	擄
櫓	櫓
爐	爐
盧	盧
老	老
蘆	蘆
虜	虜
路	路
露	露
魯	魯
鷺	鷺
碌	碌
祿	祿
綠	綠
菉	菉
錄	錄
鹿	鹿
論	論
壟	壟
弄	弄
籠	籠
聾	聾
牢	牢
磊	磊
賂	賂
雷	雷
了	了
僚	僚
寮	寮
料	料
燎	燎
療	療
蓼	蓼
遼	遼
龍	龍
壘	壘
屢	屢
樓	樓
淚	淚
漏	漏
累	累
縷	縷
陋	陋
劉	劉
柳	柳
流	流
溜	溜
琉	琉
留	留
硫	硫
類	類
六	六
戮	戮
陸	陸
倫	倫
崙	崙
淪	淪
輪	輪
律	律
慄	慄
栗	栗
隆	隆
勒	勒
肋	肋
凜	凜
凌	凌
稜	稜
綾	綾
菱	菱
陵	陵
利	利
吏	吏
履	履
李	李
梨	梨
理	理
痢	痢
罹	罹
裏	裏
裡	裡
里	里
離	離
吝	吝
燐	燐
璘	璘
藺	藺
隣	隣
鱗	鱗
麟	麟
林	林
淋	淋
臨	臨
立	立
笠	笠
粒	粒
磻	磻
復	復
輻	輻
不	不
北	北
殺	殺
狀	狀
塞	塞
索	索
省	省
數	數
拾	拾
識	識
什	什
惡	惡
若	若
易	易
葉	葉
阮	阮
異	異
咽	咽
刺	刺
炙	炙
切	切
辰	辰
車	車
參	參
拓	拓
沈	沈
便	便
暴	暴
泌	泌
行	行
瑩	瑩
滑	滑
暈	暈
龜	龜
寧	寧
說	說
率	率
龜	龜
寧	寧
說	說
率	率
樂	樂
樂	樂
樂	樂
\s女	여
\s年	연
\s撚	연
\s秊	연
\s念	염
\s捻	염
\s尿	요
\s杻	유
\s紐	유
\s泥	이
\s匿	익
\s溺	익
\s喇	나
\s懶	나
\s癩	나
\s羅	나
\s蘿	나
\s螺	나
\s裸	나
\s邏	나
\s洛	낙
\s烙	낙
\s珞	낙
\s落	낙
\s酪	낙
\s駱	낙
\s亂	난
\s卵	난
\s欄	난
\s爛	난
\s蘭	난
\s鸞	난
\s嵐	남
\s濫	남
\s藍	남
\s襤	남
\s拉	납
\s臘	납
\s蠟	납
\s廊	낭
\s朗	낭
\s浪	낭
\s狼	낭
\s郞	낭
\s來	내
\s冷	냉
\s掠	약
\s略	약
\s亮	양
\s兩	양
\s凉	양
\s梁	양
\s糧	양
\s良	양
\s諒	양
\s量	양
\s勵	여
\s呂	여
\s廬	여
\s旅	여
\s濾	여
\s礪	여
\s閭	여
\s驪	여
\s麗	여
\s黎	여
\s力	역
\s曆	역
\s歷	역
\s轢	역
\s憐	연
\s戀	연
\s漣	연
\s煉	연
\s璉	연
\s練	연
\s聯	연
\s蓮	연
\s輦	연
\s連	연
\s鍊	연
\s列	열
\s劣	열
\s烈	열
\s裂	열
\s廉	염
\s殮	염
\s簾	염
\s獵	엽
\s令	영
\s囹	영
\s嶺	영
\s怜	영
\s玲	영
\s羚	영
\s聆	영
\s鈴	영
\s零	영
\s靈	영
\s領	영
\s例	예
\s禮	예
\s醴	예
\s隷	예
\s勞	노
\s擄	노
\s櫓	노
\s爐	노
\s盧	노
\s老	노
\s蘆	노
\s虜	노
\s路	노
\s露	노
\s魯	노
\s鷺	노
\s碌	녹
\s祿	녹
\s綠	녹
\s菉	녹
\s錄	녹
\s鹿	녹
\s論	논
\s壟	농
\s弄	농
\s籠	농
\s聾	농
\s牢	뇌
\s磊	뇌
\s賂	뇌
\s雷	뇌
\s了	요
\s僚	요
\s寮	요
\s料	요
\s燎	요
\s療	요
\s蓼	요
\s遼	요
\s龍	용
\s壘	누
\s屢	누
\s樓	누
\s淚	누
\s漏	누
\s累	누
\s縷	누
\s陋	누
\s劉	유
\s柳	유
\s流	유
\s溜	유
\s琉	유
\s留	유
\s硫	유
\s類	유
\s六	육
\s戮	육
\s陸	육
\s倫	윤
\s崙	윤
\s淪	윤
\s輪	윤
\s律	율
\s慄	율
\s栗	율
\s隆	융
\s勒	늑
\s肋	늑
\s凜	늠
\s凌	능
\s稜	능
\s綾	능
\s菱	능
\s陵	능
\s利	이
\s吏	이
\s履	이
\s李	이
\s梨	이
\s理	이
\s痢	이
\s罹	이
\s裏	이
\s裡	이
\s里	이
\s離	이
\s吝	인
\s燐	인
\s璘	인
\s藺	인
\s隣	인
\s鱗	인
\s麟	인
\s林	임
\s淋	임
\s臨	임
\s寧	영
\s率	율
\s樂	낙
賈	가
降	강
見	견
更	경
契	계
串	곶
廓	곽
句	구
豈	기
金	김
拏	나
諾	낙
奈	내
女	녀
年	년
撚	년
秊	년
念	념
捻	념
怒	노
尿	뇨
杻	뉴
紐	뉴
泥	니
匿	닉
溺	닉
茶	다
丹	단
糖	당
宅	댁
度	도
讀	독
洞	동
喇	라
懶	라
癩	라
羅	라
蘿	라
螺	라
裸	라
邏	라
洛	락
烙	락
珞	락
落	락
酪	락
駱	락
亂	란
卵	란
欄	란
爛	란
蘭	란
鸞	란
嵐	람
濫	람
藍	람
襤	람
拉	랍
臘	랍
蠟	랍
廊	랑
朗	랑
浪	랑
狼	랑
郞	랑
來	래
冷	랭
掠	략
略	략
亮	량
兩	량
凉	량
梁	량
糧	량
良	량
諒	량
量	량
勵	려
呂	려
廬	려
旅	려
濾	려
礪	려
閭	려
驪	려
麗	려
黎	려
力	력
曆	력
歷	력
轢	력
憐	련
戀	련
漣	련
煉	련
璉	련
練	련
聯	련
蓮	련
輦	련
連	련
鍊	련
列	렬
劣	렬
烈	렬
裂	렬
廉	렴
殮	렴
簾	렴
獵	렵
令	령
囹	령
嶺	령
怜	령
玲	령
羚	령
聆	령
鈴	령
零	령
靈	령
領	령
例	례
禮	례
醴	례
隷	례
勞	로
擄	로
櫓	로
爐	로
盧	로
老	로
蘆	로
虜	로
路	로
露	로
魯	로
鷺	로
碌	록
祿	록
綠	록
菉	록
錄	록
鹿	록
論	론
壟	롱
弄	롱
籠	롱
聾	롱
牢	뢰
磊	뢰
賂	뢰
雷	뢰
了	료
僚	료
寮	료
料	료
燎	료
療	료
蓼	료
遼	료
龍	룡
壘	루
屢	루
樓	루
淚	루
漏	루
累	루
縷	루
陋	루
劉	류
柳	류
流	류
溜	류
琉	류
留	류
硫	류
類	류
六	륙
戮	륙
陸	륙
倫	륜
崙	륜
淪	륜
輪	륜
律	률
慄	률
栗	률
隆	륭
勒	륵
肋	륵
凜	름
凌	릉
稜	릉
綾	릉
菱	릉
陵	릉
利	리
吏	리
履	리
李	리
梨	리
理	리
痢	리
罹	리
裏	리
裡	리
里	리
離	리
