内	內
虚	虛
餅	餠
繊	纖
臓	臟
『腦內革命J	『腦內革命』
，	, 
한상황	한 상황
할것	할 것
 라도 	라도 
 서 양	 서양
 모 르	 모르
 하 나	 하나
 좋은	 좋은 
 좋은  	 좋은 
 는	는
 단 계	 단계
 방 지	 방지
 둥의 	 등의 
 하 지	 하지
 효과 적	 효과적
수 있다	 수 있다
  수	 수
 목 적	 목적
 하게 	하게 
 하여 	하여 
큰도움	큰 도움
 • 	·
 «파	 α파
모르펀	모르핀
•	·
 었다	었다
데이 터	데이터
 성인 병	 성인병
 웬지	 왠지
 으로	으로
었 다	었다
다는	다는 
는  	는 
를	를 
를  	를
한상태	한 상태
는	는
그 리고	그리고
 적인 	적인 
으 나	으나
지않	지 않
’ 이	’이
 을 	을 
 관 심	 관심
활 발	활발
엔 돌핀	엔돌핀
산-엔돌핀	β-엔돌핀
선-엔돌핀	β-엔돌핀
 of주 	 아주 
 한다.	한다.
 를 	를 
’ 라	’라
 에서	에서
 효 과	 효과
아 드레	아드레
호 르몬	호르몬
을한	을 한
 렇	렇
 만 들	 만들
수있	수 있
 둥을	 등을
’는	’는 
는  	는 
스트 레	스트레
 마 음	 마음
마 이너	마이너
흐르 몬	호르몬
 라는	라는
게한	게 한
그 러	그러
 늘 어나	 늘어나
 분 비	 분비
모르 핀	모르핀
 발 생	 발생
게하	게 하
 혈 관	 혈관
것 이	것이
을하	을 하
에대	에 대
 기 억	 기억
홉연	흡연
하기도한	하기도 한
있 	있
라고한	라고 한
ᄎ腦	大腦
이 다.	이다.
여 러	여러
시 켜	시켜
높 아	높아
는사	는 사
 (	(
한가지	한 가지
사 람	사람
없 	없
들 이	들이
 물 질	 물질
필 요	필요
 상 당	 상당
았 	았
생 각	생각
방 법	방법
않 	않
해야한다	해야 한다
 겠	겠
그 런	그런
때 문	때문
 a파	 α파
션파	β파
 거나 	거나 
는것	는 것
다고한다	다고 한다
따 라	따라
히하	히 하
 이 것	 이것
〜	~
로한다	로 한다
러 므	러므
으 	으
캠술	캡슐
고있	고 있
어야한다	어야 한다
...	…


=========================
 '	 ‘
 "	 “
 과 	과 
 에 	에 
〈	 <
〉	>
 였	였
는 다	는다
놓 	놓
는 데,	는데,
하 여 	하여 
 게 	게 
다, 고 	다’고 
 며 	며 
 사 용	 사용
했 	했
는다른	는 다른
지 면 	지면 
그러 나	그러나
,라는 	’라는 
까 지	까지
 다.	다.
