 '	 ‘
 "	 “
 \(	(
 \)	)
 ~	~
 ’	’
，	,
 «파	 α파
 → 年生	 一年生
 • 	·
 a파	 α파
 of주 	 아주 
 가 느끼	가 느끼
 가 많	가 많
 가 없	가 없
 가 우선	가 우선
 가 있	가 있
 가 장	 가장
 가 	가 
 가지 고 	 가지고 
 假하	 煆하
 癎과 癎	 癲과 癎
 癎狂	 癲狂
 疳감	 府감
 강 하	 강하
 皆 	 皆
 거나 	거나 
 건 조	 건조
 검 사	 검사
 것 은	 것은 
 것 이	 것이
 게 	게 
무를을	무릎을
 게 한	게 한
 겠	겠
 결 체	 결체
 경 우	 경우
 竟科	 莧科
 계 지	 계지
 고 려	 고려
 고 있	고 있
 고 주파	 고주파
 고\, 	고, 
 고\,	고,
 과 	과 
 과 다하	 과다하
 관 심	 관심
 菌片	 苞片
 근 거	 근거
 근 치	 근치
 根蜜	 根莖
 根塞	 根莖
 根垂	 根莖
 根楚	 根莖
 根巷	 根莖
 根華	 根莖
 급 성	 급성
 기 본	 기본
 기 억	 기억
 기끔	 가끔
 기도 한다	기도한다
 긴 장	 긴장
 길 고	 길고
 까지	까지
 나 타	 나타
 나 타나	 나타나
 나타 나	 나타나
 느 끼	 느끼
([^ ]?)것	$1 것 
 는 것	는 것
 는경우	는 경우
 늘 어나	 늘어나
 니•	 나
 니다	니다
 닌	닌
 다 \^다	 다룬다
 다 만	 다만
 다\.	다.
 단 계	 단계
 대 상	 대상
 대 신	 대신
 대 체	 대체
 대 한	 대한
 大論	大論
 德가	 穗가
 데\,	데,
 도 있	도 있
 도좋	도 좋
 된 다고	된다고
 둥 	 등 
 둥\(	 등(
 둥과	 등과
 둥과 	 등과 
 둥도	 등도
 둥에	 등에
 둥으	 등으
 둥은	 등은
 둥을	 등을 
 둥을	 등을
 둥의	 등의
 둥의 	 등의 
 둥이	 등이
 둥이 	 등이 
 들에	들에
 등 이 	 등이 
 디루	 다루
 디음	 다음
 떻	떻
 띠라	 따라
 라	라
 라고 	라고 
 라는	라는
 라도 	라도 
 鸾毛	 茸毛
 람	람
 랑	랑
 략	략
 량	량
 럽	럽
 렇	렇
 려	려
 력	력
 련	련
 렸	렸
 례	례
 로	로
 로 	로 
 로 한	로 한
 로\,	로,
 로서 	로서 
 論』	論』
 론적	론적
 뢰	뢰
 료	료
 륙	륙
 률	률
 른	른
\s+를	를
를([^ ]?)	를 $1
 鱗垂	 鱗莖
 마 음	 마음
 만 들	 만들
 만 성 	 만성 
 만 약	 만약
 만\,	만,
 蠻證	 鬱證
 말 고 	 말고 
 말 초	 말초
 며 	며 
 며\,	며,
 면\,	면,
 滅毛	 絨毛
 몇게 한	 멎게 한
 모 두	 모두
 모 르	 모르
 모 순	 모순
 목 적	 목적
 문 제	 문제
 물 질	 물질
 므로	므로
 未瀉	 未潰
 蜜塞	 壅塞
 蜜葉	 莖葉
 蜜滯	 壅滯
 및 게 한	 멎게 한
 바 꾸	 바꾸
 攀로	 鬱로
 발 생	 발생
 방 지	 방지
 배 가 	 배가 
 배 뇨	 배뇨
 배 려	 배려
 배 열	 배열
 배 출	 배출
 白 朮 	 白朮 
 변 증	 변증
 變證	 鬱證
